id,area,name,type,summary,address,tel,payex,tw97x,tw97y,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,FareInfo,EntranceCoord,type2,ptype,serviceTime,totallargemotor,ChargingStation
TPE0010,萬華區,洛陽綜合立體停車場,1,大型車:0格，小型車:1672格(含身心障礙停車位64格，孕婦、育有六歲以下兒童停車位33格)，機車:274格(含身心障礙停車位6格)，大型重機:14格，充電格位:5格,環河南路1段1號,2381-2484,"小型車(含大型重型機車)：計時 週一~週五20元/時(08時~22時)，10元/時(22時~08時)，週六、週日、行政機關放假之紀念日與民俗日20元/時(08時~10時)，30元/時(10時~22時)，10元/時(22時~08時)，停車全程以半小時計；月租 全日4,000元，日間2,400元(07時~20時)，夜間900元(20時~07時)。機車：20元/次，隔日另計；月租300元/月。",301024.8125,2771158.25,1672,274,0,0,33,64,0,0,0,0,0,0,"{'Holiday': [{'Period': '22~08', 'Fare': '10'}, {'Period': '08~10', 'Fare': '20'}, {'Period': '10~22', 'Fare': '30'}, {'Period': '22~24', 'Fare': '10'}], 'WorkingDay': [{'Period': '00~08', 'Fare': '10'}, {'Period': '08~22', 'Fare': '20'}, {'Period': '22~24', 'Fare': '10'}]}","{'EntrancecoordInfo': [{'Xcod': '25.047658', 'Ycod': '121.504884', 'Address': '環河南路一段'}, {'Xcod': '25.047581', 'Ycod': '121.504626', 'Address': '環河快速道路(市民大道 三重)'}, {'Xcod': '25.04762834', 'Ycod': '121.5052366', 'Address': '環河快速道路(市民大道 三重)'}, {'Xcod': '25.04832815', 'Ycod': '121.5062285', 'Address': '昆明街'}]}",本處自營停車場,,24小時,14,5
TPE0011,中正區,中山堂地下停車場,1,大型車:0格，小型車:441格(含身心障礙停車位9格，孕婦、育有六歲以下兒童停車位9格)，機車:0格，大型重機:1格，充電格位:9格,延平南路98號地下1至2層,2655-0818,"小型車：計時 週一~週五50元/時(08時~20時)，10元/時(20時~08時)，週六、週日、行政機關放假之紀念日與民俗日60元/時(10時~20時)，10元/時(20時~10時)，停車全程以半小時計；月租 全日4,800元，日間3,600元(07時~19時)，夜間1,000元(19時~08時)。",301520.75,2770752.75,441,0,0,0,9,9,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~10', 'Fare': '10'}, {'Period': '10~20', 'Fare': '40'}, {'Period': '20~24', 'Fare': '10'}], 'WorkingDay': [{'Period': '00~08', 'Fare': '10'}, {'Period': '08~20', 'Fare': '40'}, {'Period': '20~24', 'Fare': '10'}]}","{'EntrancecoordInfo': [{'Xcod': '25.044164', 'Ycod': '121.510693', 'Address': '武昌街一段'}]}",本處委外停車場,D,24小時,1,9
TPE0012,中山區,亞都麗緻大飯店停車場,2,大型車:0格，小型車:17格(含身心障礙停車位1格)，機車:0格,民權東路2段41號,2597-1234,計時：150元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。,303471.28125,2772839.25000,17,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0013,大安區,明曜百貨停車場,2,大型車:0格，小型車:64格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位1格)，機車:0格,忠孝東路4段200號地下2至3層,2777-1266#271~273,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,305707.40625,2770457.75000,64,0,0,0,1,2,0,0,0,0,0,0,{},{},民營停車場,,9時0分 至 22時0分,0,0
TPE0014,中山區,USPACE晶華酒店附設停車場,2,大型車:0格，小型車:145格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位2格)，機車:0格,中山北路2段39巷3號地下4層,7751-8097,計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。,302894.43750,2771878.75000,145,0,0,0,2,4,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0015,中山區,長春路平面停車場,1,大型車:0格，小型車:22格(含身心障礙停車位1格)，機車:0格,松江路160巷5-5號旁,2759-0666,計時：40元/時，全程以半小時計費。本場未出售月票。,303686.375,2772014,22,0,0,0,0,1,0,0,0,0,0,0,{},{},本處自營停車場,,周一至周六 7時至20時,0,0
TPE0016,中山區,全方位停車場開發股份有限公司南西站停車場,2,大型車:0格，小型車:30格(含身心障礙停車位1格)，機車:0格,南京西路1號地下2、3層,033581318,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:10,000元/月。",302659.28125,2771697.75000,30,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0017,萬華區,今日育樂大樓停車場,2,大型車:0格，小型車:16格(含身心障礙停車位1格)，機車:0格,峨眉街52號地下2層,2381-4272,計時：平日40元/時、例假日60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,300996.78125,2770720.00000,16,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,8時30分 至 23時30分,0,0
TPE0018,中山區,歐華酒店附設停車場,2,大型車:0格，小型車:32格(含身心障礙停車位1格)，機車:0格,林森北路646號地下1層,2585-3258#0,"小型車：計時 100元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租 全日9,000元。",303017.46875,2773424.50000,32,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,臨停:07時至24時;月租:24小時,0,0
TPE0020,松山區,USPACE宏泰世界大樓停車場,1,大型車:0格，小型車:272格(含身心障礙停車位6格)，機車:0格,敦化北路168號地下2至5層,(02)77518097,"小型車：計時 120元/時，未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計;月租 全日8,000元",305311.1875,2772136,272,0,0,0,0,6,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0021,中山區,嘟嘟房中山北1站停車場,2,大型車:0格，小型車:96格(含身心障礙停車位2格)，機車:0格,中山北路2段44號地下2至4層,2655-0818,"小型車：計時 120元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租12,000元。",302656.03125,2772012.25000,96,0,0,0,0,2,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,0
TPE0022,信義區,台北君悅酒店停車場,2,大型車:0格，小型車:491格(含身心障礙停車位13格)，機車:0格,松壽路2號地下1-2層,02-27290580,"小型車：計時 70元/時，未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計;月租 全日6,300元，半年租34,020元，年租60,480元",306775.12500,2769834.50000,491,0,0,0,0,13,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0023,中山區,新光三越百貨股份有限公司台北南西分公司停車場,2,大型車:0格，小型車:155格(含身心障礙停車位3格，孕婦、育有六歲以下兒童停車位3格)，機車:0格，充電格位:4格,南京西路12號地下3至4層,2568-2868,計時：120元/時，全程以半小時計費。,302604.62500,2771641.00000,155,0,0,0,3,3,0,0,0,0,0,0,{},{},民營停車場,S,11時00分 至 22時00分,0,4
TPE0024,中正區,喜來登飯店停車場,2,大型車:0格，小型車:214格(含身心障礙停車位4格)，機車:0格，充電格位:1格,忠孝東路1段12號,7751-8097,"小型車：計時 150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租 全日10,000元。",302677.00000,2770846.75000,214,0,0,0,0,4,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,1
TPE0025,松山區,兄弟大飯店停車場,2,大型車:0格，小型車:61格(含身心障礙停車位1格，孕婦、育有六歲以下兒童停車位1格)，機車:0格,南京東路3段255號地下2至3層,0227123456,計時：100元/時，停車全程以半小時計。憑發票消費金額每500元可免費停車半小時。,304961.09375,2771688.25000,61,0,0,0,1,1,0,0,0,0,0,0,{},{},民營停車場,S,06時30分 至 00時00分,0,0
TPE0026,大安區,福華大飯店附設停車場,2,大型車:0格，小型車:85格(含身心障礙停車位6格)，機車:0格,仁愛路3段160號地下2至3層及建物附設地面,2700-2323,小型車：計時 80元/時，未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計，超過4小時以每小時120元計。,304815.28125,2769958.00000,85,0,0,0,0,6,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0027,中山區,台灣捷通林森停車場,2,大型車:0格，小型車:89格(含身心障礙停車位1格)，機車:0格，充電格位:2格,錦州街46、48號地下1層，林森北路413號、錦州街46、48、50號地下2層,25235000,"小型車：計時 100元/時，停車全程以半小時計；月租 全日10,000元。",303046.46875,2772539.25000,89,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,2
TPE0028,中正區,仰德大樓停車場,2,大型車:0格，小型車:115格(含身心障礙停車位3格)，機車:20格(含身心障礙停車位1格),南昌路1段5號1層及地下1層,2341-7285,"小型車：計時 70元/時，未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計;月租 全日10,000元。機車：機車收費60元/次，隔日另計",302100.93750,2769531.25000,115,20,0,0,0,3,0,0,0,0,0,0,{},{},民營停車場,,臨停：7時至23時；月租：24小時,0,0
TPE0029,松山區,USPACE 長春復興停車場,2,大型車:0格，小型車:22格(含身心障礙停車位1格)，機車:0格,長春路343號地下2層,(02)77518097,"計時：150元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：10,000元/月。",304994.96875,2771946.50000,22,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,7時0分 至 23時0分,0,0
TPE0030,松山區,芝蔴停車場,2,大型車:0格，小型車:12格(含身心障礙停車位1格)，機車:0格,長安東路2段215號地上1層,0225573722,"計時：200元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。月租：全日8,000元/月。",304943.03125,2771250.00000,12,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,S,24小時,0,0
TPE0031,中山區,臺北魚市停車場,1,大型車:0格，小型車:74格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位2格)，機車:0格，充電格位:1格,民族東路410巷2弄20號地下2層,2754-9374,"計時：20元/時(22-08)，40元/時(平日08-18)，60元/時(18-22、假日及榮濱年貨大街期間)，全程以半小時計。月租：5,500元/月。",304187.4062,2773229.25,74,0,0,0,2,2,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,1
TPE0032,松山區,台灣聯通新高停車場,2,大型車:0格，小型車:18格(含身心障礙停車位1格)，機車:0格,南京東路4段162-1號地下2樓,25235000,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全天8,000元/月，日間7,000元/月(08-20)，夜間6,000元/月(20-08)。",306157.75000,2771567.50000,18,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0033,信義區,嘟嘟房世貿站停車場,1,大型車:9格，小型車:382格(含身心障礙停車位8格)，機車:0格,信義路5段1號地下1至2層,(02)26550818,"計時：小型車60元/時、大型車150元/時，停車未滿1小時以1小時計，逾1小時後以半小時計。月租：小型車6,000元/月、大型車25,000元/月。",306586.5,2769626.5,382,0,0,9,0,8,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0034,大安區,樂業停車場,2,大型車:0格，小型車:10格(含身心障礙停車位1格)，機車:0格,樂業街17號地下1層,8732-0505,"計時：60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：7,500元/月。",305528.96875,2768528.50000,10,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0035,中山區,欣欣停車場,1,大型車:0格，小型車:101格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位2格)，機車:0格,新生北路2段28巷1號地下2層,2521-2211,"計時：50元/時(06-24)，30元/時(24-06)。(停車未滿1小時者，以1小時計費，逾1小時以上者，未滿半小時以半小時計)。月租：全天6,500元/月，半天3,500元/月。",303175.2812,2771850.75,101,0,0,0,2,2,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0037,中山區,辰淵中崙停車場,1,大型車:0格，小型車:95格(含身心障礙停車位2格)，機車:0格,八德路2段210巷8號對面空地,8919-3669,"計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：8,000元/月。",304454.25,2770939,95,0,0,0,0,2,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0038,松山區,王朝大酒店,2,大型車:0格，小型車:241格(含身心障礙停車位8格，孕婦、育有六歲以下兒童停車位5格)，機車:0格,敦化北路100號地下3層,2719-8399,"計時：100元/時，全程以半小時計費。月租：全日8,800元/月。",305350.25000,2771736.50000,241,0,0,0,5,8,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0039,松山區,三軍總醫院松山分院附設民眾停車場,2,大型車:0格，小型車:100格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位2格)，機車:203格(含身心障礙停車位5格),健康路131號,0227642151#9,"計時：小型車40元/時，停車全程以半小時計。月租：小型車不保留車位全日3,500元/月。計次：機車20元/次(隔日另計)。",306268.93750,2771873.00000,100,203,0,0,2,2,0,0,0,0,0,0,{},{},民營停車場,S,24小時,0,0
TPE0040,士林區,USPACE 福林第一停車場,2,大型車:0格，小型車:49格(含身心障礙停車位2格)，機車:0格，充電格位:6格,中山北路5段465號旁空地,0277518097,"小型車：計時 150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租 全日10,000元。",303184.78125,2776158.00000,49,0,0,0,0,2,0,0,0,0,0,0,{},{},民營停車場,S,24小時,0,6
TPE0041,松山區,168停車聯盟-宏泰民生場,2,大型車:0格，小型車:361格(含身心障礙停車位7格)，機車:0格,民生東路3段156號地下2-5層,(02)2754-6661#18,"計時：150元/時，全程以半小時計。月租：15,000元/月。",305260.15625,2772245.50000,361,0,0,0,0,7,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0042,中正區,一銀大樓停車場,1,大型車:0格，小型車:15格(含身心障礙停車位2格)，機車:0格,重慶南路1段30號地面層,2348-1111,計時：200元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。,301736.0625,2770916.5,15,0,0,0,0,2,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.0125', 'Ycod': '121.5383', 'Address': ''}]}",民營停車場,,24小時,0,0
TPE0043,大安區,建成大廈停車場,2,大型車:0格，小型車:22格(含身心障礙停車位1格)，機車:0格,忠孝東路4段162、166號地下室,27127977,"小型車：計時 120元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租 全日10,000元。",305535.84375,2770456.25000,22,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0044,中正區,台灣聯通南門停車場,2,大型車:0格，小型車:59格(含身心障礙停車位1格)，機車:0格,延平南路189號地下2層,2523-5000 #1138黃小姐,"計時：80元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租：全日10,000元/月、日間8,000元/月(08-20)、夜間6,000元/月(20-08)。",301228.53125,2769616.50000,59,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0045,中正區,台灣聯通華山停車場,2,大型車:0格，小型車:150格(含身心障礙停車位3格)，機車:0格,忠孝東路2段88號地下2至5層,2523-5000,"小型車：計時 100元/時，停車全程以半小時計；月租 全日10,000元。",303418.37500,2770648.50000,150,0,0,0,0,3,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,0
TPE0046,松山區,臺北國際航空站第1號停車場,1,大型車:0格，小型車:111格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位3格)，機車:0格,敦化北路340號之9,0227057716,"小型車：40元/時(08-21)，10元/時(21-08)，停車全程以半小時計，30分鐘內出場免費，繳費後15分鐘內離場緩衝時間。非駐站月票：4,000元，駐站月票：2,400元。",305606.8438,2772832.5,111,0,0,0,3,4,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.06238', 'Ycod': '121.55175', 'Address': ''}]}",民營停車場,D,24小時,0,0
TPE0047,中正區,臺北車站東區地下停車場,1,大型車:0格，小型車:258格(含身心障礙停車位8格，孕婦、育有六歲以下兒童停車位6格)，機車:172格(含身心障礙停車位4格),北平西路3號地下1層（東區）,2799-5657,"計時：小型車100元/時、機車30元/時，全程以半小時計費。月租：小型車10,000元/月、機車3,000元/月。",302235.625,2771159.5,258,172,0,0,6,8,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0048,中正區,三軍總醫院汀州院區停車場,1,大型車:0格，小型車:75格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位2格)，機車:0格,汀州路3段40號,2246-1708#15,"一、計時：40元/時(7時-22時)，10元/時(22時-7時)，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、月租：夜間1,000元/月。",303469,2767691.5,75,0,0,0,2,2,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0049,士林區,叭叭房新光醫院地下停車場,1,大型車:0格，小型車:85格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位4格)，機車:0格,文昌路95號地下3層,(02)26550000,"計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日10,000元/月。",302484.3125,2776555.25,85,0,0,0,4,4,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0050,北投區,臺北榮民總醫院地面停車場,1,大型車:3格，小型車:209格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位4格)，機車:0格,石牌路2段201號,0228757003,小型車：計時 40元/時(07時~23時)，20元/時(23時~07時)，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計，大客車收費同小型車。,302454.375,2779295.25,209,0,0,3,4,4,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,0
TPE0051,松山區,八德立體停車場,1,大型車:0格，小型車:310格(含身心障礙停車位8格，孕婦、育有六歲以下兒童停車位12格)，機車:382格(含身心障礙停車位9格)，大型重機:8格，充電格位:7格,八德路4段580號(地下1層及地上10層),(02)26550818,"小型車：計時 週五、週六、週日、行政機關放假之紀念日與民俗日50元/時，週一、週二、週三、週四40元/時，全程以半小時計;月租 全日4,800元，大型重機2,400元/月。機車：機車收費10元/時，當日單次停車最高收費上限20元/次，隔日另計;機車月租300元/月",307654.9688,2771392,310,382,0,0,12,8,0,0,0,0,0,0,{},{},本處委外停車場,,24小時,8,7
TPE0052,萬華區,嘟嘟房昆明站,2,大型車:0格，小型車:107格(含身心障礙停車位2格)，機車:0格,昆明街46號地下2至3層,2655-0818,"小型車：計時 120元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計；月租 全日12,000元。",300975.78125,2771024.25000,107,0,0,0,0,2,0,0,0,0,0,0,{},{},民營停車場,S,24小時,0,0
TPE0053,松山區,台灣聯通大千停車場,2,大型車:0格，小型車:31格(含身心障礙停車位1格)，機車:0格,南京東路5段108號地下1至2層,(02)25235000,"計時：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日8,000元/月，日間(08-20)7,000元/月，夜間(20-08)6,000元/月。",306720.46875,2771568.25000,31,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0054,松山區,民生社區中心地下停車場,1,大型車:0格，小型車:151格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位3格)，機車:0格，充電格位:3格,民生東路5段163之1號地下室［地下2至3］層,0222408767,"小型車：計時 30元/時，停車全程以半小時計；月租 全日5,760元。",306799.875,2772524.75,151,0,0,0,3,4,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~24', 'Fare': '30'}], 'WorkingDay': [{'Period': '00~24', 'Fare': '30'}]}","{'EntrancecoordInfo': [{'Xcod': '25.05980251', 'Ycod': '121.5626311', 'Address': '民生東路五段137巷4弄'}]}",本處委外停車場,,24小時,0,3
TPE0055,士林區,大葉天母停車場,1,大型車:0格，小型車:1506格(含身心障礙停車位34格，孕婦、育有六歲以下兒童停車位30格)，機車:1131格(含身心障礙停車位22格),忠誠路2段55號地下1至3層、地上6至11層,(02)28312345,"計時：小型車120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日8,000元/月，日間(07-19)及夜間(21-09)5,000元/月。計次：機車50元/次。",303626.125,2778236.25,1506,1131,0,0,30,34,0,0,0,0,0,0,{},{},民營停車場,S,24小時,0,0
TPE0056,大同區,塔城公園地下停車場,1,大型車:0格，小型車:155格(含身心障礙停車位4格，孕婦、育有六歲以下兒童停車位5格)，機車:0格，充電格位:2格,塔城街11號地下,2759-0666,"計時：30元/時，全程半小時計費。月租：全日月票5,760元、夜間月票3,000元(21-8)。",301524.5938,2771520,155,0,0,0,5,4,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~24', 'Fare': '30'}], 'WorkingDay': [{'Period': '00~24', 'Fare': '30'}]}","{'EntrancecoordInfo': [{'Xcod': '25.050878', 'Ycod': '121.510586', 'Address': '塔城街'}]}",本處自營停車場,,24小時,0,2
TPE0057,松山區,Times敦南市民,2,大型車:0格，小型車:4格(含身心障礙停車位1格)，機車:0格,市民大道4段83號旁,0809008924,"計時：200元/時，停車全程以半小時計。月租：全日10,000元/月。",305227.62500,2770902.50000,4,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,0
